room_id,room_name,room_description,room_location,count_washers,count_dryers
14089,English House,English House,14146,3,3
14082,"Gregory College House: Class of 1925""",Gregory College House: Class of 1925,14138,4,4
14085,Gregory College House: Van Pelt,Gregory College House: Van Pelt,14141,6,6
5249,Gutmann College House,Gutmann College House,5611,18,18
14099,Harnwell 10th Floor,Harnwell College House,14150,3,3
14100,Harnwell 12th Floor,Harnwell College House,14150,3,3
14101,Harnwell 14th Floor,Harnwell College House,14150,3,3
14102,Harnwell 16th Floor,Harnwell College House,14150,3,3
14103,Harnwell 18th Floor,Harnwell College House,14150,3,3
14104,Harnwell 20th Floor,Harnwell College House,14150,3,3
14105,Harnwell 22nd Floor,Harnwell College House,14150,3,3
14106,Harnwell 24th Floor,Harnwell College House,14150,3,3
14094,Harnwell 2nd Floor,Harnwell College House,14150,3,3
14095,Harnwell 4th Floor,Harnwell College House,14150,3,3
14096,Harnwell 6th Floor,Harnwell College House,14150,3,3
14098,Harnwell 8th Floor,Harnwell College House,14150,3,3
14111,Harrison 10th Floor,Harrison College House,14153,3,3
14112,Harrison 12th Floor ,Harrison College House,14153,3,3
14113,Harrison 14th Floor,Harrison College House,14153,3,3
14114,Harrison 16th Floor,Harrison College House,14153,3,3
14115,Harrison 18th Floor ,Harrison College House,14153,3,3
14116,Harrison 20th Floor,Harrison College House,14153,3,3
14117,Harrison 22nd Floor,Harrison College House,14153,3,3
14118,Harrison 24th Floor,Harrison College House,14153,3,3
14107,Harrison 2nd Floor,Harrison College House,14153,3,3
14108,Harrison 4th Floor,Harrison College House,14153,3,3
14109,Harrison 6th Floor,Harrison College House,14153,3,3
14110,Harrison 8th Floor,Harrison College House,14153,3,3
14090,Hill College House,Hill College House,14147,16,16
14091,King's Court,King's Court,14148,5,6
14092,Lauder,Lauder,14149,10,10
14078,Class of 28,Quad: Fisher College House,14655,0,0
14079,Craig,Quad: Fisher College House,14655,0,0
14080,Ashhurst - Magee,Quad: Riepe College House,14137,12,12
14076,Birthday - Bishop White,Quad: Riepe College House,14137,9,9
14077,Butcher - Chestnut,Quad: Ware College House,14656,0,0
14081,Morgan,Quad: Ware College House,14656,0,0
14123,Rodin 10th Floor,Rodin College House,14154,3,3
14124,Rodin 12th Floor,Rodin College House,14154,3,3
14125,Rodin 14th Floor,Rodin College House,14154,3,3
14126,Rodin 16th Floor,Rodin College House,14154,3,3
14127,Rodin 18th Floor,Rodin College House,14154,3,3
14128,Rodin 20th Floor,Rodin College House,14154,3,3
14129,Rodin 22nd Floor,Rodin College House,14154,3,3
14130,Rodin 24th Floor,Rodin College House,14154,3,3
14119,Rodin 2nd Floor,Rodin College House,14154,3,3
14120,Rodin 4th Floor,Rodin College House,14154,3,3
14121,Rodin 6th Floor,Rodin College House,14154,3,3
14122,Rodin 8th Floor,Rodin College House,14154,3,3
14084,Samson West,Samson West,14140,16,16
11373,Stouffer Commons,Stouffer College House,11693,4,4
14093,Stouffer Mayer,Stouffer College House,11693,8,8
14083,W.E.B. Du Bois College House,W.E.B. Du Bois College House,14139,6,6
